year,FAO,UNFCCC,Research
2001,1370.01,1331.51,1292.41
2002,1477.68,1429.25,1383.81
2003,1088.12,1058.45,1005.58
2004,1646.31,1618.29,1567.6
2005,1735.07,1686.43,1622.95
2006,1777.45,1721.41,1667.09
2007,2000.51,1930.9,1850.9
2008,1953.23,1891.61,1808.78
2009,2539.3,2449.59,2372.85
2010,2304.76,2266.72,2167.77
2011,2152.81,2096.81,2013.76
2012,2829.37,2738.88,2638.26
2013,2375.04,2233.75,2108.17
2014,3305.29,3155.26,2957.19
2015,2688.88,2569.66,2439.13
2016,3850.6,3711.74,3504.88
2017,3621.83,3394.74,3145.12
2018,3053.33,2870.88,2658.8
