year,instances
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,1
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,1
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,1
1926,0
1927,0
1928,0
1929,2
1930,1
1931,0
1932,1
1933,2
1934,0
1935,0
1936,2
1937,0
1938,1
1939,1
1940,1
1941,2
1942,0
1943,0
1944,1
1945,0
1946,0
1947,0
1948,0
1949,1
1950,1
1951,1
1952,1
1953,2
1954,1
1955,0
1956,0
1957,1
1958,0
1959,2
1960,2
1961,1
1962,5
1963,3
1964,2
1965,6
1966,7
1967,6
1968,2
1969,3
1970,5
1971,9
1972,7
1973,12
1974,11
1975,5
1976,3
1977,8
1978,6
1979,7
1980,2
1981,6
1982,9
1983,10
1984,12
1985,10
1986,9
1987,7
1988,9
1989,9
1990,3
1991,11
1992,5
1993,5
1994,25
1995,7
1996,12
1997,11
1998,6
1999,7
2000,12
2001,11
2002,7
2003,10
2004,8
2005,14
2006,9
2007,9
2008,12
2009,6
2010,38
2011,59
2012,35
2013,56
2014,70
2015,59
2016,64
2017,8
2018,4
2019,4
