country,kilograms,cocoa,pound,tree
China,0.1,110,0.22,0.1
South Africa,0.9,990,1.98,1
Brazil,1.2,1320,2.64,1
Japan,1.2,1320,2.64,1
France,4.3,4730,9.46,4
United States,4.4,4840,9.68,4
Russia,4.8,5280,10.56,4
Denmark,4.9,5390,10.78,4
Australia,4.9,5390,10.78,4
Czech Republic,4.9,5390,10.78,4
New Zealand,5,5500,11,5
The Netherlands,5.1,5610,11.22,5
Slovakia,5.2,5720,11.44,5
Finland,5.4,5940,11.88,5
Belgium,5.6,6160,12.32,5
Poland,5.7,6270,12.54,5
Norway,5.8,6380,12.76,5
Estonia,6.5,7150,14.3,6
Sweden,6.6,7260,14.52,6
Great Britain,7.6,8360,16.72,7
Germany,7.9,8690,17.38,7
Ireland,7.9,8690,17.38,7
Austria,8.1,8910,17.82,8
Switzerland,8.8,9680,19.36,9
